Title,Rating,Votes
Detour,6.3,2205
The Love Witch,6.2,4669
Talladega Nights: The Ballad of Ricky Bobby,6.6,137502
The Human Centipede (First Sequence),4.4,60655
Super,6.8,64535
The Siege of Jadotville,7.3,14689
Up in the Air,7.4,279694
The Midnight Meat Train,6.1,50255
The Twilight Saga: Eclipse,4.9,192740
Transpecos,5.8,1292
What's Your Number?,6.1,62095
Riddick,6.4,132098
Triangle,6.9,72533
The Butler,7.2,93322
King Cobra,5.6,3990
After Earth,4.9,166512
Kicks,6.1,2417
Me and Earl and the Dying Girl,7.8,92076
The Descendants,7.3,211348
Sex and the City 2,4.3,62403
The Kings of Summer,7.2,65653
Death Race,6.4,173731
That Awkward Moment,6.2,81823
Legion,5.2,84158
End of Watch,7.7,192190
3 Days to Kill,6.2,73567
Lucky Number Slevin,7.8,271940
Trance,7,97141
Into the Forest,5.9,10220
The Other Boleyn Girl,6.7,88260
I Spit on Your Grave,6.3,60133
Custody,6.9,280
Inland Empire,7,44227
L'odyssĂ©e,6.7,1810
The Walk,7.3,92378
Wrecker,3.5,1210
The Lone Ranger,6.5,190855
Texas Chainsaw 3D,4.8,37060
Disturbia,6.9,193491
Rock of Ages,5.9,64513
Scream 4,6.2,108544
Queen of Katwe,7.4,6753
My Big Fat Greek Wedding 2,6,20966
Dark Places,6.2,31634
Amateur Night,5,2229
It's Only the End of the World,7,10658
The Skin I Live In,7.6,108772
Miracles from Heaven,7,12048
Annie,5.3,27312
Across the Universe,7.4,95172
Let's Be Cops,6.5,112729
Max,6.8,21405
Your Highness,5.6,87904
Final Destination 5,5.9,88000
Endless Love,6.3,33688
Martyrs,7.1,63785
Selma,7.5,67637
Underworld: Rise of the Lycans,6.6,129708
Taare Zameen Par,8.5,102697
Take Me Home Tonight,6.3,45419
Resident Evil: Afterlife,5.9,140900
Project X,6.7,164088
Secret in Their Eyes,6.2,27585
Hostel: Part II,5.5,73152
Step Up 2: The Streets,6.2,70699
Search Party,5.6,4881
Nine Lives,5.3,12435
